year,link
2010,https://www.youtube.com/playlist?list=PLTklf3SDyrGYzUhLJc3qLRfdo5o5G4zSa
2011,https://www.youtube.com/playlist?list=PLTklf3SDyrGYKNXIDSf14Hnn9SxqYkPTw
2011,https://www.youtube.com/playlist?list=PLTklf3SDyrGZVjYmBOTA954OOSKeSc6VQ
2012,https://www.youtube.com/playlist?list=PLTklf3SDyrGaer4jWbOTsnb0PthEaPXK_
2013,https://www.youtube.com/playlist?list=PLTklf3SDyrGbAs2oPg7EAQdj_wnkPZVQW
2014,https://www.youtube.com/playlist?list=PLTklf3SDyrGYL_1Y1GXumDJNJdQ-XeWeC
2015,https://www.nicovideo.jp/user/53645538/mylist/54317863
2015,https://www.nicovideo.jp/user/55340751/mylist/55532478
2016,https://www.nicovideo.jp/user/51819176/mylist/54538165
2016,https://www.nicovideo.jp/user/11756794/mylist/54667860
2017,https://www.nicovideo.jp/user/39898727/mylist/61022276
2017,https://www.nicovideo.jp/user/29958410/mylist/60541866
2017,https://www.nicovideo.jp/user/29958410/mylist/57886087
2018,https://www.nicovideo.jp/user/39898727/mylist/61022289
2018,https://www.nicovideo.jp/user/29958410/mylist/60771244
2019,https://www.youtube.com/playlist?list=PLSjmYthpTeiMkJiegvMyOy6nYYQr2763o
2020,https://www.youtube.com/playlist?list=PLSjmYthpTeiPusNhSyMzROuoSuxGWCsd9
2021,https://www.youtube.com/playlist?list=PLSjmYthpTeiMtXARurwzADq9rTRwjtCmx
2022,https://www.youtube.com/playlist?list=PLSjmYthpTeiMcCCU-8sowjxI9ryRlKEg9
2023,https://www.youtube.com/playlist?list=PLSjmYthpTeiOCc1F9vXhPjWqTEoqFo-xJ
